Molecule,Category,Brand,SKU,Value25,Unit25,GrowthValue25,GrowthUnit25
 GENIX PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OMC-D              GX4,,"9,371,608","19,467",23.14,-2.87
 GLOBAL,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSOMIN-D          GLB,,"4,105,526","36,045",-40.59,-40.59
 HIMONT PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSMIN-D3           HTP,,"452,170","1,087",26.29,-2.51
 KAIZEN PHARMA PVT,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSVIT-D           KK9,,"119,682","1,280",458.95,458.95
 HIRANIS PHARMACEUT,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSICOM-D           HIR,,"46,844",501,-86.40,-86.40
 CARAWAY PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSEIN-D           CWH,,"1,300",20,999.00,999.00
 NEUTRO PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSS-PRO            N/P,,"40,171,275","121,423",38.23,25.95
 ASIAN CONTINENTAL,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   SCOXY              AP&,,"19,998,504","75,761",116.34,95.06
 NABIQASIM,  DINOPROSTONE,   GLANDIN-E2         NQM,,"211,030,296","207,065",-5.60,-11.18
 PLATINUM PHARMA,  DINOPROSTONE,   PREGLAN-E2         P/P,,"24,799,615","54,493",30.54,20.33
 SHAIGAN PHARMA,  DINOPROSTONE,   DITONE E2 V        SHM,,"2,688,020","4,172",999.00,999.00
 PFIZER PAKISTAN,  DINOPROSTONE,   PROSTIN E2         PFZ,,"28,693",6,-99.85,-99.94
 NABIQASIM,  DINOPROSTONE,   GLANDIN-E2         NQM,,"58,332,564","49,054",2.98,-7.82
 SHAIGAN PHARMA,  DINOPROSTONE,   DITONE E2 V        SHM,,"1,457,954","1,370",999.00,999.00
 PFIZER PAKISTAN,  DINOPROSTONE,   PREPIDIL           PFZ,,0,0,0.00,0.00
 SAMI,  IRON FERRIC,   ELINJEC            SAM,,"708,295,650","277,763",60.05,60.05
 VIFOR,  IRON FERRIC,   FERINJECT          VIF,,"691,513,993","91,222",1.62,-20.91
 MARTIN DOW MARKER,  IRON FERRIC,   FESERVOIR          MDM,,"309,563,891","93,620",152.23,152.23
 HILTON,  IRON FERRIC,   FERCARI            HL.,,"287,672,980","120,871",51.12,80.95
 BOSCH,  IRON FERRIC,   BOFERIN            B6H,,"250,402,386","96,375",107.75,131.08
 RG PHARMA PVT LTD,  IRON FERRIC,   FEROXYMA           RGP,,"240,768,875","113,303",4.38,4.38
 GENIX PHARMA,  IRON FERRIC,   FCM                GX4,,"210,398,573","85,937",14.83,40.74
 BARRETT HODGSON,  IRON FERRIC,   BAROMALT           BGO,,"109,045,058","27,980",23.73,23.73
 NABIQASIM,  IRON FERRIC,   FERCABIN           NQM,,"87,926,635","35,179",296.59,426.00
 HIGH-Q INTL,  IRON FERRIC,   CARBOKYT           HQI,,"81,362,850","31,907",999.00,999.00
 GREENSTAR,  IRON FERRIC,   ENOJECT            GSA,,"72,563,658","18,618",18.92,18.92
 OBS AGP PVT LTD,  IRON FERRIC,   ROSOZ              OAL,,"70,385,440","25,877",10.00,10.00
 SHAIGAN PHARMA,  IRON FERRIC,   FE-CAR             SHM,,"67,822,864","23,128",398.45,398.45
 BF BIOSCIENCES,  IRON FERRIC,   FERIUM             BFB,,"22,227,704","9,260",999.00,999.00
 SWISS PHARMA,  IRON FERRIC,   FERRIBOXY          SW-,,"18,613,725","6,433",999.00,999.00
 BIO-LABS,  IRON FERRIC,   BIO-MALTOSE        BI-,,"14,815,500","3,974",200.68,180.85
 SAFFRON PHARMA,  IRON FERRIC,   NORIFER            SAF,,"12,940,060","5,437",999.00,999.00
 PHARMASOL PVT.LTD,  IRON FERRIC,   IZER               PSL,,"12,221,300","4,108",999.00,999.00
 CELL LABORATORIES,  IRON FERRIC,   MALTOCELL          .A2,,"3,942,810","1,718",999.00,999.00
 TABROS PHARMA,  IRON FERRIC,   FERRY-COM          T9P,,"3,518,847","1,899",999.00,999.00
 VIFOR,  IRON FERRIC,   VENOFER            VIF,,"1,874,818,480","508,883",10.74,-16.48
 MARTIN DOW MARKER,  IRON FERRIC,   SANGOBION FE       MDM,,"38,301,974","44,439",-20.78,-27.05
 FOCUS & RULZ PHARM,  IRON FERRIC,   INJECTOFER         F&R,,"15,558,953","6,825",999.00,999.00
 PDH LABS PVT LTD,  IRON FERRIC,   FERRODIN           PDH,,"8,197,740","8,037",-35.03,-35.03
 PHARMEVO PVT. LTD.,  IRON FERRIC,   AXIFER             PV-,,"705,501",664,-92.70,-92.70
 NEUTRO PHARMA,  IRON FERRIC,   NEUFER             N/P,,"15,640",23,-99.31,-99.31
 RG PHARMA PVT LTD,  IRON FERRIC,   ONEFER             RGP,,"11,053",7,-99.94,-99.94
 BAJWA PHARMA,  IRON FERRIC,   IRON-S             BJW,,0,0,-100.00,-100.00
 HIGH-Q INTL,  IRON FERRIC,   POLYMALT           HQI,,"765,930,916","2,781,461",22.07,9.79
 SAMI,  IRON FERRIC,   BISLERI            SAM,,"400,290,250","1,584,274",17.27,-0.31
 VIFOR,  IRON FERRIC,   MALTOFER           VIF,,"197,818,033","664,937",-26.43,-37.20
 SAMI,  IRON FERRIC,   ELEZO              SAM,,"68,056,458","362,877",5.55,-4.35
 HIMONT PHARMA,  IRON FERRIC,   HEAMOCARE          HTP,,"62,544,469","80,714",120.16,-7.54
 OBS AGP PVT LTD,  IRON FERRIC,   RUBIFER            OAL,,"42,792,126","155,393",29.82,24.06
 CONTINENTAL PHARMA,  IRON FERRIC,   FERRICURE          C.P,,"41,412,347","207,527",-3.75,-8.36
 ASIAN CONTINENTAL,  IRON FERRIC,   FERALIFE           AP&,,"16,321,531","187,651",17.31,8.06
 BARRETT HODGSON,  IRON FERRIC,   POLYFER            BGO,,"13,224,345","96,445",32.43,21.03
 S.J.& G. FAZUL,  IRON FERRIC,   FERRICA            SFZ,,"8,575,824","50,437",-5.17,-7.56
 KAIR PHARMA,  IRON FERRIC,   CRESS              KPA,,"7,234,262","42,367",-1.74,-1.00
 GLITZ PHARMA,  IRON FERRIC,   GARLEX             G6Z,,"7,155,000","53,000",999.00,999.00
 ZAFA,  IRON FERRIC,   IROZAF             ZAF,,"6,600,624","64,712",0.89,0.51
 GENIX PHARMA,  IRON FERRIC,   RBC                GX4,,"4,857,488","22,460",3.29,-13.88
 GENETICS PHARMA,  IRON FERRIC,   GLOBIGEN           G9P,,"4,054,823","17,279",-0.96,-21.08
 CONTINENTAL PHARMA,  IRON FERRIC,   VIVASE             C.P,,"3,725,475","19,741",70.07,39.01
 SAFE PHARMA,  IRON FERRIC,   BELTON             S+F,,"3,473,914","13,120",-31.82,-43.65
 CORE HEALTH,  IRON FERRIC,   IRONOM             CRH,,"3,246,320","11,935",999.00,999.00
 PHARMEDIC,  IRON FERRIC,   BIOFER             PHD,,"2,552,394","21,239",-24.19,-30.83
 SWISS PHARMA,  IRON FERRIC,   ROPLEX             SW-,,"2,457,309","10,388",486.43,374.12
 HIGH-Q INTL,  IRON FERRIC,   POLYMALT           HQI,,"272,898,877","1,044,589",4.81,4.81
 ASIAN CONTINENTAL,  IRON FERRIC,   FERALIFE           AP&,,"22,006,203","109,597",28.31,15.84
 OBS AGP PVT LTD,  IRON FERRIC,   RUBIFER            OAL,,"14,256,310","50,151",19.68,7.36
 BOSCH,  IRON FERRIC,   ROUGE              B6H,,"3,855,167","33,260",-14.05,-15.18
 BARRETT HODGSON,  IRON FERRIC,   POLYFER            BGO,,"3,030,814","26,884",5.75,-3.25
 FOCUS & RULZ PHARM,  IRON FERRIC,   M-FER              F&R,,"2,058,374","7,888",999.00,999.00
 CSH PHARMA,  IRON FERRIC,   HB-RISE            CS-,,"957,147","8,433",285.77,285.77
 MTI MED PVT LT-LHR,  IRON FERRIC,   TEMURIN            MTI,,"377,026","1,706",48.29,29.83
 MEDISAVE,  IRON FERRIC,   REDISH             M1S,,"183,857","3,090",14.66,14.66
 HOORA PHARMA,  IRON FERRIC,   INTRAFER           HR4,,"97,512",956,999.00,999.00
 REMINGTON,  IRON FERRIC,   FEMTOL             RGM,,833,14,999.00,999.00
 SAMI,  IRON FERRIC,   ELEZO              SAM,,"150,468,921","280,299",12.11,0.18
 CONTINENTAL PHARMA,  IRON FERRIC,   FERRICURE          C.P,,"41,674,056","85,343",-3.71,-10.43
 OBS PHARMA PVT LTD,  IRON FERRIC,   FERRIC MALTOL      OPL,,"36,343,989","50,555",355.10,437.02
 S.J.& G. FAZUL,  IRON FERRIC,   FERRICA            SFZ,,"4,447,643","10,180",-53.30,-53.30
 GENIX PHARMA,  IRON FERRIC,   RBC                GX4,,"86,414,400","50,832",67.53,53.85
 ALLMED,  IRON FERRIC,   MONOFER            A0E,,"14,580,202","5,703",33.53,15.40
 CONTINENTAL PHARMA,  IRON FERRIC,   VIVASE             C.P,,"2,531,608","2,149",-68.82,-72.31
 MTI MED PVT LT-LHR,  IRON FERRIC,   TEMURIN-S          MTI,,"545,530",268,7.78,-8.84
 SAFE PHARMA,  IRON FERRIC,   VITOHAM            S+F,,"240,577",86,-96.84,-97.72
 ACUMEN PHARMA,  IRON FERRIC,   REVOFER            ACP,,0,0,0.00,0.00
 OBS AGP PVT LTD,  IRON FERRIC,   RUBIFER            OAL,,"32,405,020","255,238",27.81,26.85
 VIFOR,  IRON FERRIC,   MALTOFER           VIF,,"31,879,923","104,500",-60.57,-46.96
 CONTINENTAL PHARMA,  IRON FERRIC,   FERRICURE          C.P,,"51,884",763,-83.75,-83.75
 GENETICS PHARMA,  IRON FERRIC,   GLOBIGEN           G9P,,"7,187,091","27,505",20.06,7.21
 ARIES PHARMA,  IRON FERRIC,   FERIMAX            AR&,,"265,118","1,368",999.00,999.00
 FYNK PHARMA,  IRON FERRIC,   MACIFAR            FYK,,"260,560","2,358",-13.53,-48.18
 SHROOQ PHARMA,  IRON FERRIC,   NOVARISE           SQP,,"400,198","7,980",158.17,158.17
 HAMAZ PHAR.,  IRON FERRIC,   BEN-10             HZP,,"52,241",878,999.00,999.00
 WILSHIRE,  IRON FERRIC,   AGNESE             WSH,,"21,556",79,999.00,999.00
 OBSONS PHARMA,  IRON FERRIC,   HAEMOGEN           OBS,,"7,140",120,-90.54,-90.54
 SAFE PHARMA,  IRON FERRIC,   BELTON             S+F,,0,0,-100.00,-100.00
 BRISTOL MAYER BIOT,  IRON FERRIC,   EISEN              BMB,,0,0,0.00,0.00
 GLOBAL,  IRON FERRIC,   LOHIMALT           GLB,,0,0,0.00,0.00
 CARAWAY PHARMA,  IRON FERRIC,   OFERA              CWH,,0,0,-100.00,-100.00
 MEDICAIDS,  IRON FERRIC,   FE-CHEW            MA&,,"130,615",616,-40.88,-49.34
 Z-JANS PHARMA,  IRON FERRIC,   REVICEL            ZJP,,"6,392",94,-55.02,-55.02
 SHAIGAN PHARMA,  FOLIC ACID+INOSITOL+VITAMIN E,   FESTIO             SHM,,"5,112,668","8,872",999.00,999.00
 HILTON,  VONOPRAZAN,   VONIZA             HL.,,"571,873,326","875,666",44.42,5.17
 HORIZON HEALTHCARE,  VONOPRAZAN,   VONNP              HHC,,"567,005,840","513,393",11.74,-3.34
 GETZ PHARMA,  VONOPRAZAN,   VONOZAN            GTZ,,"485,270,063","787,559",1.66,-9.14
 HIGH-Q INTL,  VONOPRAZAN,   VONRIK             HQI,,"309,430,005","638,031",999.00,999.00
 THE SEARLE COMPANY,  VONOPRAZAN,   VOCINTI            SEA,,"183,010,453","341,289",3.77,-14.68
 FEROZSONS,  VONOPRAZAN,   VENU               FZS,,"170,032,298","349,944",46.02,28.63
 HELIX PHARMA PVT L,  VONOPRAZAN,   VPN                HX4,,"143,622,413","364,055",27.40,25.44
 SAMI,  VONOPRAZAN,   VONOLIA            SAM,,"113,122,222","301,655",205.27,198.25
 GLOBAL,  VONOPRAZAN,   VONOGLOB           GLB,,"100,245,481","171,700",999.00,999.00
 MARTIN DOW MARKER,  VONOPRAZAN,   VONOSPIRE          MDM,,"95,446,029","219,684",999.00,999.00
 NABIQASIM,  VONOPRAZAN,   XAPOZAN            NQM,,"85,137,100","158,756",22.73,4.79
 AGP LIMITED,  VONOPRAZAN,   AG-VONO            A.G,,"80,805,300","175,845",66.44,45.01
 CONTINENTAL PHARMA,  VONOPRAZAN,   VOZINO             C.P,,"76,844,494","172,905",993.10,933.26
 GENIX PHARMA,  VONOPRAZAN,   CABVON             GX4,,"68,825,396","110,541",82.22,79.23
 CELL LABORATORIES,  VONOPRAZAN,   VONOCEL            .A2,,"51,504,575","132,149",78.91,79.64
 SCILIFE,  VONOPRAZAN,   SCIVONO            SC1,,"48,181,716","112,409",195.47,164.72
 CCL,  VONOPRAZAN,   VONMA              C.C,,"46,423,116","81,492",79.47,53.13
 DYSON LABS,  VONOPRAZAN,   VODYSON            DY6,,"44,149,334","86,259",240.89,223.75
 SHAIGAN PHARMA,  VONOPRAZAN,   VONOPRAN           SHM,,"40,427,201","94,188",26.86,23.61
 MARTIN DOW LIMITED,  VONOPRAZAN,   VOZDOW             MD.,,"40,282,175","42,913",247.28,211.42
 THE SEARLE COMPANY,  ORPHENADRINE+PARACETAMOL,   NUBEROL            SEA,,"3,978,249,349","23,820,158",0.39,-19.15
 TABROS PHARMA,  ORPHENADRINE+PARACETAMOL,   DURAGESIC          T9P,,"409,695,716","1,416,166",21.74,14.08
 WILSONS,  ORPHENADRINE+PARACETAMOL,   WILGESIC           WIS,,"294,363,602","431,546",82.68,22.21
 SAMI,  ORPHENADRINE+PARACETAMOL,   PROVAS-N           SAM,,"166,684,514","244,689",5.47,-6.57
 AGP LIMITED,  ORPHENADRINE+PARACETAMOL,   SINAXAMOL PLUS     A.G,,"152,900,589","675,939",47.70,21.92
 STANLEY PHARMA,  ORPHENADRINE+PARACETAMOL,   RID ALL            STY,,"65,705,078","251,264",49.28,56.27
 HORIZON HEALTHCARE,  ORPHENADRINE+PARACETAMOL,   REDRINE            HHC,,"42,943,380","98,706",49.44,14.60
 WILSHIRE,  ORPHENADRINE+PARACETAMOL,   MEDIGESIC          WSH,,"26,648,021","136,307",-3.68,-3.68
 GLOBAL,  ORPHENADRINE+PARACETAMOL,   GLORAL             GLB,,"19,256,671","136,518",-29.88,-42.00
 AXIS PHARMACEUTICA,  ORPHENADRINE+PARACETAMOL,   EROGESIC           AX-,,"17,354,417","47,344",999.00,999.00
 SWISS PHARMA,  ORPHENADRINE+PARACETAMOL,   P-ORPH             SW-,,"16,150,936","126,674",999.00,999.00
 SHAIGAN PHARMA,  ORPHENADRINE+PARACETAMOL,   ACETOFEN           SHM,,"14,214,277","55,401",5.12,56.70
 EVOLUTION PHARMA,  ORPHENADRINE+PARACETAMOL,   CORILAX            EVO,,"14,111,918","27,738",999.00,999.00
 SAFE PHARMA,  ORPHENADRINE+PARACETAMOL,   PANGESIC           S+F,,"8,299,331","82,125",495.07,336.21
 GENIX PHARMA,  ORPHENADRINE+PARACETAMOL,   GENBROL            GX4,,"4,527,270","39,246",999.00,999.00
 LISKO,  ORPHENADRINE+PARACETAMOL,   MUSCADOL           LSK,,"4,068,720","16,953",496.73,496.73
 ARRETA PHARMA,  ORPHENADRINE+PARACETAMOL,   TYGESIC            ARP,,"2,095,248","7,054",999.00,999.00
 FOCUS & RULZ PHARM,  ORPHENADRINE+PARACETAMOL,   MOLODRIN           F&R,,"1,889,735","6,490",20.01,5.10
 MURFY PHARMA,  ORPHENADRINE+PARACETAMOL,   FORGIN             MRP,,"1,811,435","21,311",-44.42,-44.42
 WIMITS PHARMA,  ORPHENADRINE+PARACETAMOL,   PARADRINE          WMT,,"1,477,120","4,909",-8.69,-18.41
 SAMI,  ORPHENADRINE+PARACETAMOL,   PROVAS-N           SAM,,"424,295,751","2,583,073",10.29,-2.25
 AGP LIMITED,  ORPHENADRINE+PARACETAMOL,   SINAXAMOL PLUS     A.G,,"137,004,326","212,081",33.60,24.76
 SWISS PHARMA,  ORPHENADRINE+PARACETAMOL,   P-ORPH             SW-,,"11,847,632","62,015",999.00,999.00
 GLOBAL,  ORPHENADRINE+PARACETAMOL,   GLORAL             GLB,,"9,052,362","45,719",6.98,6.98
 CELL LABORATORIES,  ORPHENADRINE+PARACETAMOL,   SIROL              .A2,,"7,800,858","25,493",999.00,999.00
 HORIZON HEALTHCARE,  ORPHENADRINE+PARACETAMOL,   REDRINE            HHC,,"1,415,557","10,280",-70.77,-70.77
 SURGE LABS,  ORPHENADRINE+PARACETAMOL,   FEVERAL            SUG,,0,0,-100.00,-100.00
 SAMI,  PARACETAMOL+TRAMADOL,   TONOFLEX-P         SAM,,"2,391,332,923","6,387,297",27.55,17.72
 ATCO,  PARACETAMOL+TRAMADOL,   DISTALGESIC        AT3,,"465,100,669","2,587,039",13.13,11.09
 EFROZE,  PARACETAMOL+TRAMADOL,   TRAMAPAR           EFR,,"156,657,332","538,250",103.98,-21.37
 CELL LABORATORIES,  PARACETAMOL+TRAMADOL,   SIMGESIC           .A2,,"116,301,076","563,065",-14.98,-14.98
 HORIZON HEALTHCARE,  PARACETAMOL+TRAMADOL,   DOSTERIL           HHC,,"94,983,321","155,412",14.37,-10.86
 AXIS PHARMACEUTICA,  PARACETAMOL+TRAMADOL,   TOMOGEX            AX-,,"44,450,411","299,960",135.18,80.76
 WILSONS,  PARACETAMOL+TRAMADOL,   DIAGESIC-EXTRA     WIS,,"44,057,637","238,060",37.10,-13.95
 GETZ PHARMA,  PARACETAMOL+TRAMADOL,   PANTRA PLUS        GTZ,,"41,802,460","212,876",-3.93,-16.92
 AGP LIMITED,  PARACETAMOL+TRAMADOL,   CALFINA PLUS       A.G,,"34,854,635","179,469",21.61,5.18
 DYSON LABS,  PARACETAMOL+TRAMADOL,   EKCEL              DY6,,"34,130,989","114,726",27.26,15.84
 GENETICS PHARMA,  PARACETAMOL+TRAMADOL,   TRAMPOL            G9P,,"31,565,551","199,025",12.78,-6.19
 GLOBAL,  PARACETAMOL+TRAMADOL,   RAMA-D PLUS        GLB,,"30,657,269","288,539",-1.55,-1.55
 MACTER,  PARACETAMOL+TRAMADOL,   TRAMCET            MTR,,"30,335,028","196,267",96.45,86.51
 JENNER PHARMA,  PARACETAMOL+TRAMADOL,   X-TRAM             JEN,,"26,831,523","93,392",51.68,43.32
 CONTINENTAL PHARMA,  PARACETAMOL+TRAMADOL,   TAXIDOL-P          C.P,,"25,044,267","140,304",-18.14,-23.04
 WERRICK PHARMA,  PARACETAMOL+TRAMADOL,   SOLOGESIC EXTRA    WRP,,"24,768,679","253,388",3.59,3.59
 FYNK PHARMA,  PARACETAMOL+TRAMADOL,   TALIDOL-P          FYK,,"22,687,352","106,764",168.88,33.76
 S.J.& G. FAZUL,  PARACETAMOL+TRAMADOL,   FEVTRO-P           SFZ,,"22,001,492","132,619",999.00,999.00
 BARRETT HODGSON,  PARACETAMOL+TRAMADOL,   FEBROL FAST        BGO,,"21,366,980","115,522",-2.71,-12.74
 GLOBAL,  PARACETAMOL+TRAMADOL,   TUMAPLAX-P         GLB,,"20,421,911","175,308",9.75,12.22
 THE SEARLE COMPANY,  PARACETAMOL+TRAMADOL,   TRAMAL PLUS        SEA,,"683,120,894","3,541,109",56.76,25.61
 HIGH-Q INTL,  PARACETAMOL+TRAMADOL,   FRENDOL-P          HQI,,"366,813,152","2,026,592",35.83,35.83
 PHARMEDIC,  PARACETAMOL+TRAMADOL,   DARVIN             PHD,,"251,200,677","676,969",20.91,-19.72
 MURFY PHARMA,  PARACETAMOL+TRAMADOL,   TREMAVIN           MRP,,"91,651,250","1,078,250",82.50,82.50
 MARTIN DOW LIMITED,  PARACETAMOL+TRAMADOL,   KROTAM             MD.,,"57,899,987","299,709",13.86,-0.92
 CUREXA HEALTH,  PARACETAMOL+TRAMADOL,   SEDEN-P            CXH,,"28,038,928","194,041",999.00,999.00
 WILSHIRE,  PARACETAMOL+TRAMADOL,   ZULTRACET          WSH,,"21,355,888","81,047",-15.19,-15.19
 SAMI,  PARACETAMOL+TRAMADOL,   TONOFLEX-P         SAM,,"21,029,679","75,475",-66.77,-82.70
 ASIAN CONTINENTAL,  PARACETAMOL+TRAMADOL,   JYSK-P             AP&,,"20,752,556","184,615",24.26,14.28
 EVOLUTION PHARMA,  PARACETAMOL+TRAMADOL,   TRALGIX PLUS       EVO,,"14,979,947","93,568",723.36,630.03
 SAFFRON PHARMA,  PARACETAMOL+TRAMADOL,   TRIFORT P          SAF,,"14,320,920","93,916",3.67,-7.52
 ASTA,  PARACETAMOL+TRAMADOL,   ASTADOL            AST,,"8,670,620","44,159",14.62,14.62
 BIO-LABS,  PARACETAMOL+TRAMADOL,   P-TRAND            BI-,,"7,007,026","31,706",28.39,6.35
 FOCUS & RULZ PHARM,  PARACETAMOL+TRAMADOL,   MOLTRIN            F&R,,"1,508,377","9,679",999.00,999.00
 RG PHARMA PVT LTD,  PARACETAMOL+TRAMADOL,   DOLORAID           RGP,,"37,315",439,999.00,999.00
 FORAY PHARMA,  PARACETAMOL+TRAMADOL,   FORGESIL           FAY,,0,0,0.00,0.00
 PACIFIC,  BROMELAINS+DIMETICONE+METOCLOPRAMIDE+PANCREATIN+SODIUM,   PLASIL WITH ENZYME PCF,,"219,231,408","530,145",95.41,0.35
 SHAIGAN PHARMA,  BROMELAINS+DIMETICONE+METOCLOPRAMIDE+PANCREATIN+SODIUM,   PEPZYME            SHM,,"187,570,103","346,841",36.91,0.50
 GETZ PHARMA,  PREGABALIN,   GABICA             GTZ,,"5,035,204,571","7,195,591",26.95,7.70
 HILTON,  PREGABALIN,   ZEEGAP             HL.,,"1,359,239,645","2,025,298",28.48,-32.02
 HIGH-Q INTL,  PREGABALIN,   RETERIC            HQI,,"538,565,609","1,359,378",22.71,17.16
 CCL,  PREGABALIN,   GABLIN             C.C,,"522,635,541","1,127,810",-7.87,-19.02
 MAGNS PHARMA,  PREGABALIN,   PREGALAX           MGS,,"346,879,315","1,183,760",302.83,203.51
 SAMI,  PREGABALIN,   PREGY              SAM,,"332,830,693","1,094,771",14.19,8.01
 ATCO,  PREGABALIN,   SYNGAB             AT3,,"305,721,829","797,958",-4.36,0.04
 MARTIN DOW MARKER,  PREGABALIN,   DOLOGAB            MDM,,"256,127,190","640,219",44.79,14.31
 MARTIN DOW LIMITED,  PREGABALIN,   PRELIN             MD.,,"233,089,638","592,977",70.33,43.25
 OBS PAK PVT. LTD,  PREGABALIN,   LYRICA             OBP,,"222,661,925","128,077",38.45,15.15
 HIGHNOON,  PREGABALIN,   HILIN              HIG,,"208,418,245","641,815",12.85,5.75
 GENETICS PHARMA,  PREGABALIN,   LINGAB             G9P,,"158,589,535","301,384",41.64,9.73
 PHARMEVO PVT. LTD.,  PREGABALIN,   XILICA             PV-,,"150,451,132","414,046",43.64,29.61
 SHAIGAN PHARMA,  PREGABALIN,   PEGALIN            SHM,,"83,377,852","230,422",-15.40,-18.95
 HORIZON HEALTHCARE,  PREGABALIN,   ZOBLIN             HHC,,"81,693,953","111,774",0.67,-13.84
 AGP LIMITED,  PREGABALIN,   NERGAB             A.G,,"78,760,728","189,503",16.56,-4.72
 DYSON LABS,  PREGABALIN,   DYGAB              DY6,,"69,679,176","241,201",37.00,30.13
 NOVAMED PHARMA,  PREGABALIN,   NOVOGAB            NO+,,"50,405,089","196,944",23.35,24.13
 GENIX PHARMA,  PREGABALIN,   SEIPIL             GX4,,"44,886,595","123,310",38.10,16.94
 NABIQASIM,  PREGABALIN,   PRENEU             NQM,,"33,397,645","85,780",-39.42,-47.22
 NABIQASIM,  PREGABALIN,   PRENEU             NQM,,"105,320,019","243,731",999.00,999.00
 CCL,  PREGABALIN,   GABLIN             C.C,,"57,468,139","110,939",999.00,999.00
 HORIZON HEALTHCARE,  PREGABALIN,   ZOBLIN             HHC,,"6,876,968","7,635",999.00,999.00
 GETZ PHARMA,  PREGABALIN,   GABICA             GTZ,,"4,561,100","8,615",999.00,999.00
 KAIZEN PHARMA PVT,  PREGABALIN,   REVOGAB            KK9,,"35,788",131,999.00,999.00
 GENETICS PHARMA,  PREGABALIN,   LINGAB             G9P,,"738,689",971,999.00,999.00
 THE SEARLE COMPANY,  DICLOFENAC+MISOPROSTOL,   ROTEC              SEA,,"403,261,125","1,043,712",-12.22,-16.23
 GENIX PHARMA,  DICLOFENAC+MISOPROSTOL,   DIMIS              GX4,,"41,450,271","98,700",9.19,-1.64
 MCOLSON RESEARCH,  DICLOFENAC+MISOPROSTOL,   BRAVO              M-R,,"21,547,728","62,939",22.36,16.82
 SAFFRON PHARMA,  DICLOFENAC+MISOPROSTOL,   SOFAC-M            SAF,,"5,867,040","17,256",21.49,6.63
 BARRETT HODGSON,  DICLOFENAC+MISOPROSTOL,   MOBIKARE PLUS      BGO,,"4,961,453","15,654",-20.90,-27.77
 HIRANIS PHARMACEUT,  DICLOFENAC+MISOPROSTOL,   DOLACT             HIR,,"2,962,087","8,306",116.80,3.35
 SANTE PHAR,  DICLOFENAC+MISOPROSTOL,   DICLOTOL           SNE,,"2,574,646","6,465",-42.38,-44.45
 FRIENDS PHARMACEUT,  DICLOFENAC+MISOPROSTOL,   ARTISAF            F6P,,"725,478","3,692",-82.48,-82.48
 STANDPHARM,  DICLOFENAC+MISOPROSTOL,   DISTOL             STH,,796,4,300.00,300.00
 HELIX PHARMA PVT L,  DICLOFENAC+MISOPROSTOL,   DIPROS             HX4,,0,0,-100.00,-100.00
 WILSHIRE,  DICLOFENAC+MISOPROSTOL,   WONDRA             WSH,,0,0,0.00,0.00
 GETZ PHARMA,  DICLOFENAC+MISOPROSTOL,   CYTOPAN            GTZ,,"149,074,576","314,058",-13.28,-21.42
 SHAIGAN PHARMA,  DICLOFENAC+MISOPROSTOL,   ARTHO              SHM,,"21,886,729","47,952",-15.84,-35.62
 HORIZON HEALTHCARE,  DICLOFENAC+MISOPROSTOL,   ZOLFENAC           HHC,,"18,823,318","39,791",56.37,-9.26
 SCOTMANN PHARMA,  DICLOFENAC+MISOPROSTOL,   PAIN-AID PLUS      SC2,,"2,639,403","10,254",-42.53,-53.88
 PHARMASOL PVT.LTD,  DICLOFENAC+MISOPROSTOL,   ARTISOL-M          PSL,,"841,933","2,562",999.00,999.00
 CCL,  DICLOFENAC+MISOPROSTOL,   OSTEOTEC           C.C,,"90,462",265,-98.94,-98.94
 NABIQASIM,  DICLOFENAC+MISOPROSTOL,   MISOCOT            NQM,,"26,736",108,-88.72,-88.40
 MASS-PHARMA HEALTH,  DICLOFENAC+MISOPROSTOL,   D-FENAC            M4P,,0,0,-100.00,-100.00
 SAMI,  DICLOFENAC+MISOPROSTOL,   ERWIN              SAM,,0,0,-100.00,-100.00
 GLOBAL,  DICLOFENAC+MISOPROSTOL,   MISO PLUS          GLB,,0,0,0.00,0.00
 UNISON,  DICLOFENAC+MISOPROSTOL,   SAMOTEC            UIO,,0,0,0.00,0.00
 WILSHIRE,  DICLOFENAC+MISOPROSTOL,   WONDRA             WSH,,0,0,-100.00,-100.00
 SAFE PHARMA,  DICLOFENAC+MISOPROSTOL,   ARTHOPAN           S+F,,"9,628,875","22,954",54.26,17.95
 ACE HEALTHTEK,  DICLOFENAC+MISOPROSTOL,   THERADIC-M         AH.,,0,0,0.00,0.00
 HIGH-Q INTL,  FAMOTIDINE,   FAMOPSIN           HQI,,"209,829,640","1,234,292",1.75,1.75
 SHAIGAN PHARMA,  FAMOTIDINE,   FAMOT              SHM,,"199,672,289","818,126",3.89,-3.07
